,word,count,log_count
762,petroleum,87,4.465908118654584
763,retaliation,39,3.6635616461296463
764,vowed,46,3.828641396489095
765,block,748,6.617402977974478
766,vital,204,5.318119993844216
767,transit,189,5.241747015059643
768,gen,123,4.812184355372417
769,martin,620,6.429719478039138
770,chairman,382,5.945420608606575
771,joint,331,5.802118375377063
772,chiefs,130,4.867534450455582
773,staff,980,6.887552571664617
774,reopen,24,3.1780538303479458
775,accomplished,189,5.241747015059643
776,means,2168,7.681560362559537
777,potentially,284,5.648974238161206
778,appeared,597,6.391917113392602
779,toll,143,4.962844630259907
780,showing,576,6.3561076606958915
781,signs,444,6.095824562432225
782,strain,168,5.123963979403259
783,looking,2851,7.955425088912672
784,ways,1518,7.325148957955575
785,avoid,766,6.641182169740591
786,dollars,807,6.693323668269949
787,problems,1788,7.488852955733459
788,importing,25,3.2188758248682006
789,food,2454,7.805474625270857
790,gallup,55,4.007333185232471
791,poll,299,5.700443573390687
792,suggesting,243,5.493061443340548
793,majority,817,6.705639094860003
794,iranians,40,3.6888794541139363
795,flurry,36,3.58351893845611
796,gestures,94,4.543294782270004
797,attacks,408,6.0112671744041615
798,attributed,91,4.51085950651685
799,mahmoud,27,3.295836866004329
800,renewed,79,4.3694478524670215
801,latest,595,6.38856140554563
802,advance,369,5.910796644040527
803,cutting,407,6.008813185442595
804,six,1942,7.571473648851271
805,leaders,860,6.756932389247553
806,responding,159,5.0689042022202315
807,frantically,31,3.4339872044851463
808,indicated,313,5.746203190540153
809,begun,270,5.598421958998375
810,producing,204,5.318119993844216
811,inside,1606,7.381501894506707
812,facility,301,5.707110264748875
813,found,4106,8.32020459757888
814,visits,165,5.10594547390058
815,tripled,28,3.332204510175204
816,capacity,384,5.950642552587727
817,type,1101,7.00397413672268
818,far,3232,8.080856419640986
819,core,639,6.459904454377535
820,insist,148,4.997212273764115
821,best,4506,8.41316512099219
822,shows,1192,7.083387847625295
823,despite,1039,6.946013991099227
824,boasts,49,3.8918202981106265
825,having,2956,7.991592282068092
826,trouble,829,6.720220155135295
827,amounts,265,5.579729825986222
828,generation,655,6.484635235635252
829,equipment,512,6.238324625039508
830,argues,173,5.153291594497779
831,though,3690,8.213381737034572
832,british,695,6.543911845564792
833,disagree,320,5.768320995793772
834,should,8769,9.078978053779355
835,decide,591,6.3818160174060985
836,pilots,108,4.68213122712422
837,miles,971,6.878326468291325
838,across,2225,7.707512194600341
839,route,303,5.713732805509369
840,fight,1212,7.10002716662926
841,defenses,58,4.060443010546419
842,multiple,641,6.46302945692067
843,sites,550,6.309918278226516
844,simultaneously,164,5.099866427824199
845,planes,157,5.056245805348308
846,defense,1066,6.97166860472579
847,analysts,163,5.093750200806762
848,close,2048,7.6246189861593985
849,pentagon,128,4.852030263919617
850,meant,881,6.78105762593618
851,huge,1043,6.949856455000773
852,highly,681,6.523562306149512
853,operation,441,6.089044875446846
854,described,733,6.597145701886651
855,different,3832,8.251142139090751
856,surgical,58,4.060443010546419
857,reactor,27,3.295836866004329
858,syria,175,5.1647859739235145
859,sign,1064,6.96979066990159
860,rising,427,6.056784013228625
861,tom,782,6.661854740545311
862,adviser,121,4.795790545596741
863,met,1164,7.059617628291383
864,benjamin,89,4.48863636973214
865,netanyahu,53,3.970291913552122
866,jerusalem,127,4.844187086458591
867,feb,158,5.062595033026967
868,warned,231,5.442417710521793
869,cnn,334,5.811140992976701
870,william,609,6.411818267709897
871,bbc,63,4.143134726391533
872,attacking,125,4.8283137373023015
873,wise,227,5.424950017481403
874,thing,5415,8.596928159435091
875,this,51981,10.858633546178956
876,moment,1831,7.5126175446745105
877,enforcing,41,3.713572066704308
878,amid,122,4.804021044733257
879,agreeing,56,4.02535169073515
880,ban,195,5.272999558563747
881,imports,85,4.442651256490317
882,contracts,169,5.1298987149230735
883,end,4084,8.314832179284556
884,ones,1113,7.014814351275545
885,july,1061,6.966967138613983
886,statement,989,6.8966943316227125
887,ministers,78,4.356708826689592
888,embargo,72,4.276666119016055
889,covered,668,6.504288173536645
890,crude,78,4.356708826689592
